Id,Architecture,Optimizer,Iterations,MSE train,MSE test,Runtime
ML0,1|4,sgd|0.01,15|1024,0.6385823706519554,0.6586816978599735,3mn59s
ML1,1|10,adam|0.01,20|1024,0.2371878337243246,0.24185596753047955,5mn4s
ML2,1|8,adam|0.0005,20|512,1.624047710161206,1.8054995030818088,9mn58s
ML3,1|16,adam|0.001,30|256,0.7355655333958839,0.7708380145475194,12mn60s
ML4,2|32,adam|0.0005,50|128,0.08117901161376767,0.083405474822989,26mn6s
ML5,2|64,adam|0.00030000000000000003,25|64,0.1751344061603921,0.17856148966726265,22mn27s
ML6,1|128,sgd|0.01,20|256,3.0844364337269035,3.6128313150835516,7mn52s
ML7,1|4,adam|0.001,30|2048,1.307014653482008,1.4167337369048059,12mn54s
ML8,2|4,sgd|0.05,40|256,0.5144809855140396,0.5317594327453233,8mn41s
ML9,2|10,adam|0.001,40|512,0.23413048169673734,0.23769691238394977,11mn37s
